category,tid,bvid,title,desc,pubdate,owner_mid,owner_name,view,danmaku,reply,favorite,coin,share,like,dislike
音乐,59,BV1sX4y1y7WK,Letting go 结锅就是爱琴,-,1684984845,2017652633,盆克吉他手AA,2072311,1217,1774,36545,12303,23193,253277,0
音乐,31,BV18c41137N5,人生不止一场考试，你只管向前！,高考加油呀！,1686052940,3461581446843293,徐且慢,262696,960,574,12061,3549,747,64184,0
音乐,243,BV1wm4y1q71t,【我是歌手】全七季十大最佳表演个人排名（乐评向）,"我是歌手七季以来最打动up的十大最佳表演的个人排名
欢迎大家在评论区分享自己心仪的表演",1686121156,294660718,耿耿天,222411,2455,885,2640,2911,327,5739,0
音乐,243,BV1VM4y1Y79E,难怪老外禁“TikTok”！一首《向天再借五百年》，直接被迫血脉觉醒！,难怪老外禁中国“文化输出”，火了一首中文歌，直接让他们血脉觉醒！,1686127226,342943435,音乐Fans小琼,321717,327,243,337,42,35,7342,0
音乐,59,BV1Lk4y1p7q5,猪猪侠，但是集体发疯版,crazy！！！,1686056943,3493259145907128,黑帮乐团,157582,202,234,6744,1269,893,37835,0
音乐,130,BV1xm4y1q7gv,到底是谁安排的Harry Styles和ghost两隔壁开演唱会？？,https://weibo.com/tv/show/1034:4910325276016728?from=old_pc_videoshow,1686214800,27830358,营养怪兽,167112,23,127,4347,97,1406,22709,0
音乐,130,BV1mm4y1i7bK,【东方风改编曲】YOASOBI - Idol,"https://www.youtube.com/watch?v=7DdblQmyo18
作者：FanTouhouMusic - ファン東方ミュージック
简介：原曲: YOASOBI「アイドル」
图片：P站ID108863886
其他链接:
Twitter
- https://twitter.com/fantouhoumusic
Pixiv
- https://www.pixiv.net/en/users/78204775",1686311515,942357,R十寻,95006,200,299,5572,1071,1549,8820,0
音乐,31,BV1uN411C7zz,假如周杰伦唱《只因你太美》，泪崩了,"原曲 /《搁浅》

原词 /《只因你太美》",1685702368,345898856,渣渣与脆脆Shark,2922314,3148,5325,61354,57920,71480,170265,0
音乐,130,BV1Rs4y1e7Re,吴青峰式哲学来划重点！,,1686387600,1894563281,哔哩哔哩毕业歌会,233211,179,232,797,675,139,3938,0
音乐,243,BV1VP411Q7Nu,老舅高考语文138遭质疑，一位rapper晒高考成绩624分！,-,1686238281,3493283277835010,说唱印迹,358272,161,1823,405,36,181,4752,0
音乐,130,BV18c41137AX,【邓紫棋】冒充订票实习生，接粉丝来电！,视频来自互联网,1686023133,1261409092,邓紫棋qiqi音乐会,707013,316,602,1462,143,434,15142,0
音乐,59,BV1Ps4y1B7sN,自学一年的主音吉他手什么成分,学校艺术节 海阔天空➕不再犹豫➕真的爱你 串烧哈哈哈哈哈 好开心啊今天,1685146012,452185620,世间再无黄家驹l,980633,1571,1042,12383,27083,1036,126543,0
音乐,29,BV1tu4y1d7xT,【黄绮珊x希林娜依高】《是妈妈是女儿》线下首唱,,1686274200,533099977,黄绮珊,109987,971,432,3033,5200,1052,8267,0
音乐,130,BV1Pz4y1B7dC,谢谢，听完之后天灵盖打开了。,VORONINA VALERIA / VORONINA OLGA / VARVARA KHIZHNYAKOVA,1685986384,372589825,农村黑妞玛丽嘉儿,187481,124,142,7866,1099,1390,26591,0
舞蹈,20,BV1dW4y1X7ds,【鱼肉肉】银狼居然会跳室内系的Track Maker,舞蹈原创：BV11E411i7LR,1686132000,31761139,鱼肉肉pabo,687784,286,674,31395,7201,1910,143955,0
舞蹈,154,BV14W4y1R7pS,生活不易，堂主卖艺(╥ω╥`),-,1685961698,11029554,Kitty_wan,719458,134,1001,35325,5472,1800,119778,0
舞蹈,20,BV1Rh4y197fG,还是你的笑容最可爱⁄(⁄ ⁄ ⁄ω⁄ ⁄ ⁄)⁄,"参考BV1434y1C7Vc
还是你的笑容最可爱啦(⁎⁍̴̛ᴗ⁍̴̛⁎)
今日份的快乐已送达！",1686300197,154506630,沛沛瑶呀爱吃糖呀,639418,381,1894,8476,8122,887,38150,0
舞蹈,199,BV1XN411r7wA,【Stray Kids】 “S-Class”Dance Practice Video (Suit ver.),-,1686222000,3461571609102962,StrayKids,192861,6543,3593,11372,9951,5959,24689,0
舞蹈,199,BV1BW4y1X74e,连泳装都还原的《Queencard》10套换装全曲翻跳 | DIY打歌服 | 4k竖屏直拍【(G)I-DLE】,"好喜欢女娃，这次回归真的大发！以后也一直走花路吧！
好可惜这次因为顺序的问题比较晚出，官方的活动不知道能不能赶得上了555，先拜托大家多多三连啦～
这次娃打歌舞台真的好精彩，虽然晚出但是等到了新鲜的服装素材哈哈哈，玫红色和泳装有点子性感，不知道会不会限流，不管怎么样希望大家喜欢～
另外，之前机位比较低，双下巴频频露出，近两次翻跳都有尝试不同的机位，大家可能会有点不习惯。
自学自扒，有很多不足请大家多多包容，会慢慢进步的
本期进度条：喜茶的爆汁杨梅和东坡荔枝生椰露（都强力推荐",1686306900,341676398,每天都想吃生鱼片,201323,777,456,4373,19139,508,36933,0
舞蹈,199,BV1vP411Q7aM,昆卡来了，好喜欢这首歌,-,1685113104,27885880,教导主任大包老师,1178345,438,1050,34844,6067,11906,226229,0
舞蹈,200,BV15h4y1G7P1,柔美…就是女生的必杀技！,"跳舞什么的都不重要了，只要饮水机还在就好。。。哈哈哈～
动作太大了...发型已经有自己的想法了
bgm-眉南边",1686279600,27565758,-小D-biu,480568,243,660,5895,5007,565,27022,0
舞蹈,20,BV1qu411W7qf,欢迎来到极乐净土，拥抱美好生活❤️,"很奇妙的体验~蒙眼找不到平衡、沙地也使不上力，但录的很开心~辛苦比比嘻陪我跑这么远 两人都没带水差点渴亖在沙滩哈哈

音乐/舞蹈：GARNiDELiA - 极乐净土（極楽浄土）
摄影/后期：比比嘻",1686217500,1845381,几兔灰,278493,240,236,8716,2316,546,19496,0
舞蹈,255,BV1KL411i7re,高考助力摇,本期有点抽象，但是对各位即将参加高考or中考的大家是衷心的祝福！！,1685975176,158403965,宇崎学妹想要摇,2120500,2812,3181,21216,42162,26563,224095,0
舞蹈,199,BV1nX4y1872x,什 么 洗 脑 蹦 迪 摇 啊？🌠,"银狼/卡芙卡/三月七：都是我
摄影后期：BN
音乐：PSY - 'That That (prod. & feat. SUGA)",1686047700,259333,矮乐多Aliga,838409,849,875,22633,17728,1690,64980,0
舞蹈,199,BV1W8411Z71X,卧槽！challange就是拿给你们舞担们比舞的,审核大大辛苦了！,1686138609,356067467,rjkmmbose,315954,357,102,2624,250,106,33690,0
舞蹈,154,BV1NN411y7XC,纵 横 平 行 宇 宙【中国移动】,"兄弟们数数有几个冬梅
出镜：冬梅（平行宇宙共创版）",1686043626,690100803,中国移动动感地带,673680,959,741,8686,1883,1973,70119,0
舞蹈,198,BV1Cz4y1q7M8,世界舞蹈大赛中国区总决赛2023丨专业组冠军 - SOHANA（彩排版）,世界舞蹈大赛中国区总决赛2023丨专业组冠军 - SOHANA（彩排版），情绪杀手，尽展柔与力量之美,1686042690,278093845,严炎Aaron,275914,294,415,4349,2836,615,23877,0
舞蹈,154,BV1xm4y1q7jP,世上摇子千千万，但只能有一个若安,"安氏摇别名含蓄摇，主打一个刚柔并济。
以手部动作和情绪输出为核心，以上半身动作为主，情曲结合为主题。
结合音乐鼓点为辅
不追求持续力量输出追求暴击",1686240743,1411687475,若安猛猛开摇,210222,70,554,3618,575,546,34995,0
舞蹈,154,BV1Hs4y1v7yD,旗祝高考生旗开得胜，指定行,-,1686194844,2096387612,林希bili,262822,58,297,7197,395,362,12074,0
舞蹈,255,BV15o4y1T7et,没 头 脑 手 势 舞 2,出镜@矮乐多Aliga  @害羞7 ,1686283500,502909621,表情包Aliga,231311,52,178,4399,723,141,24086,0
舞蹈,20,BV1ec411u7Lt,【汤姆】极乐净土，但是暗藏玄机,准备好学习新的舞蹈了吗？三连助力分解教学！,1686308400,11643866,汤姆的混乱空间,181288,374,650,1928,3240,991,28423,0
舞蹈,199,BV13P411B7s4,【Thea】孙莉舞蹈分析｜律师函警告？,-,1686247168,74518922,Thea呀,241716,822,458,886,882,204,10424,0
舞蹈,154,BV1EN411y7nY,【Go Hard-Twice】初二的mo狗英勇作战,下盘去死,1686127399,1800570421,Kkamily木子,113262,246,442,6730,564,926,40422,0
舞蹈,20,BV1rh4y1G75w,【高考助力】我推の985！？アイドル-YOASOBI,原创编舞：@宇宙兔兔海 ,1686221752,1813797500,-三三三元,179281,153,400,2153,2088,1463,21742,0
舞蹈,154,BV1DM4y1a77n,我不拔罐谢谢,-,1686304261,1284184786,眠羊妹妹m22w开播,187982,67,218,7823,531,370,12631,0
舞蹈,154,BV1wL411z7bu,摘下面具，成为摇子,这玩意儿投舞蹈区没问题吧…,1684850550,1840428890,尘洛鱼,3248674,2561,1483,21998,13025,5375,330941,0
